job_id,job_title,company,salary,city,exp,link
2170822,Kỹ Sư AI Thị Giác Máy Tính - Có Xe Đưa Đón,CÔNG TY TNHH MEKTEC MANUFACTURING (VIỆT NAM),Thoả thuận,Hưng Yên (mới) & Hà Nội,3 năm,https://www.topcv.vn/viec-lam/ky-su-ai-thi-giac-may-tinh-co-xe-dua-don/2170822.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2293431,Data Analyst (Mobile App) - Sign In Bonus Upto 1 Tháng Lương Trong Tháng 9/2026,CÔNG TY CỔ PHẦN IKAME GLOBAL,"Tới 1,500 USD",Hà Nội,2 năm,https://www.topcv.vn/viec-lam/data-analyst-mobile-app-sign-in-bonus-upto-1-thang-luong-trong-thang-9-2026/2293431.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2293783,Nhân Viên Kỹ Thuật - IT,CÔNG TY LIÊN DOANH KHÁCH SẠN TRÁCH NHIỆM HỮU HẠN HÀ NỘI HOTEL,10 - 16 triệu,Hà Nội,1 năm,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-it/2293783.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2295735,Product Owner - JLPT N1,Công ty Cổ phần NAL Việt Nam,30 - 50 triệu,Hà Nội,3 năm,https://www.topcv.vn/viec-lam/product-owner-jlpt-n1/2295735.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2297643,Nhân Viên Cố Vấn Phần Mềm ERP | Lương 18 Triệu | Làm Việc Tại Bắc Ninh,CÔNG TY CỔ PHẦN PHẦN MỀM DI GI WIN VIỆT NAM,Từ 18 triệu,Bắc Ninh (mới),1 năm,https://www.topcv.vn/viec-lam/nhan-vien-co-van-phan-mem-erp-luong-18-trieu-lam-viec-tai-bac-ninh/2297643.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2298916,Chuyên Viên Quản Trị Hệ Thống - System Administrator (Cầu Giấy - Hà Nội),Công ty cổ phần FDS,Thoả thuận,Hà Nội,2 năm,https://www.topcv.vn/viec-lam/chuyen-vien-quan-tri-he-thong-system-administrator-cau-giay-ha-noi/2298916.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2287835,Lập Trình PLC (Thu Nhập 10-40 Triệu/Tháng) Tại Yên Phong- Bắc Ninh,CÔNG TY TNHH ETS VINA,10 - 40 triệu,Bắc Ninh (mới),1 năm,https://www.topcv.vn/viec-lam/lap-trinh-plc-thu-nhap-10-40-trieu-thang-tai-yen-phong-bac-ninh/2287835.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2289298,Senior Network/ Server Engineer - 5 Years Of Experience - Ho Chi Minh City - Attractive Benefits And A Competitive Salary,CHI NHÁNH CÔNG TY TNHH KDDI VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,Thoả thuận,Hồ Chí Minh (mới),5 năm,https://www.topcv.vn/viec-lam/senior-network-server-engineer-5-years-of-experience-ho-chi-minh-city-attractive-benefits-and-a-competitive-salary/2289298.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2292302,Technical Leader / Tech Lead – SaaS & AI Products_05 Năm Kinh Nghiệm _ Đi Làm Ngay,CÔNG TY TNHH CÔNG NGHỆ UMBALABS,Thoả thuận,Hồ Chí Minh (mới),Trên 5 năm,https://www.topcv.vn/viec-lam/technical-leader-tech-lead-saas-ai-products-05-nam-kinh-nghiem-di-lam-ngay/2292302.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2102055,Kỹ Sư Lập Trình Gia Công CNC Mastercam,Công ty Cổ phần Công nghiệp KIMSEN,15 - 20 triệu,Bắc Ninh (mới),2 năm,https://www.topcv.vn/brand/congnghiepkimsen/tuyen-dung/ky-su-lap-trinh-gia-cong-cnc-mastercam-j2102055.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2297755,Kỹ Sư Lập Trình Nhúng C/C++,Công ty TNHH Công Nghệ Dicom,Thoả thuận,Hà Nội,Dưới 1 năm,https://www.topcv.vn/viec-lam/ky-su-lap-trinh-nhung-c-c/2297755.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2298644,Head Of Engineering - HCMC,TopCV Search,300 - 320 triệu,Hồ Chí Minh (mới),Trên 5 năm,https://www.topcv.vn/viec-lam/head-of-engineering-hcmc/2298644.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2296294,Nhân Viên Sales Marketing/Tư Vấn Triển Khai Phần Mềm Thu Nhập Đến 20Tr (Không Cần Kinh Nghiệm) - Quận 12,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,10 - 20 triệu,Hồ Chí Minh (mới),Không yêu cầu,https://www.topcv.vn/viec-lam/nhan-vien-sales-marketing-tu-van-trien-khai-phan-mem-thu-nhap-den-20tr-khong-can-kinh-nghiem-quan-12/2296294.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2294359,"Nhân Viên IT Website WordPress - Từ 1 Năm Kinh Nghiệm - Tại Lê Văn Sỹ, Phường Nhiêu Lộc, HCM",CÔNG TY TNHH ĐẦU TƯ GIÁO DỤC VÀ CÔNG NGHỆ BẢN VIỆT,10 - 15 triệu,Hồ Chí Minh (mới),1 năm,https://www.topcv.vn/viec-lam/nhan-vien-it-website-wordpress-tu-1-nam-kinh-nghiem-tai-le-van-sy-phuong-nhieu-loc-hcm/2294359.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
1290249,Nhân Viên QA - Công Ty Dược Phẩm,CÔNG TY TNHH LIVESPO PHARMA,10 - 14 triệu,Hà Nội,1 năm,https://www.topcv.vn/viec-lam/nhan-vien-qa-cong-ty-duoc-pham/1290249.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
